stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee,billed_adder_notes,billed_adder_other,cb_date,cb_report,clear_date,cleared_by,client_no,co_install_y_n,conflict_repair_date,crew_lead,crew_tech,depth_1,depth_2,depth_3,depth_4,depth_5,desc_1,desc_2,desc_3,desc_4,desc_5,dig_hrs,dig_y_n,dir_lat_frm_mh,dist_1,dist_2,dist_3,dist_4,dist_5,dist_mh_to_lat,door_tag_date1,door_tag_date2,door_tag_date3,end_mh,field_notes,gas_main_clr_date,gas_main_clr_method,gas_service_clr_date,gas_service_clr_method,inspection_hourly,inspection_type,inspector,lat_inspection_push_camera_ea,latitude,longitude,measurements_y_n,no_videos_today,no_videos_total,notes_doortag,notes_extra,num_of_co_installs,phase,photo_map,pipe_complete,project_no,pv_stage,qa_comments_1,qa_comments_2,qa_comments_3,qa_name,qa_pass_fail_1,qa_pass_fail_2,qa_pass_fail_3,qc_comments_1,qc_comments_2,qc_comments_3,qc_date_1,qc_date_2,qc_date_3,qc_name_1,qc_name_2,qc_name_3,qc_p_f_1,qc_p_f_2,qc_p_f_3,ref_1,ref_2,ref_3,ref_4,ref_5,rerun_deadline,rerun_y_n,sanitary_main_cleaning_lf,sanitary_main_inspection_lf,sewer_lat_inspection_lat_launch_ea,sewer_lateral_cleaning_lf,sewer_ml_ft,sewer_type,site_photos,start_mh,state,status_update,storm_main_cleaning_lf,storm_main_inspection_lf,street_direction,time,to_bldg,utility_type,video_1,video_2,video_3,video_date_1,video_date_2,video_date_3,video_device_1,video_device_2,video_device_3,video_type,video_url,video_url_2,video_url_3
GAS LINE,2025-06-06,,,,,COMMERCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9375,-94.8748,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2025/06/06,,,,,,1,,,,,,,,,,,,,
GAS LINE,2025-08-06,,7705,,Veracruz Ave,El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.7471,-106.358,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,2025/08/06,,,,,Gas Service ,1,,,,,,,,,,,,,
GAS LINE,2025-06-05,,,,,OSWEGO ,,,,,,2025/06/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,37.1646,-95.1073,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/06/05,,,,09:05,,1,,,,,,,,,,,,,
GAS LINE,2025-08-06,,,,,,,,,,,2025/08/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.7479,-106.358,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/08/06,,,,08:58,,1,,,,,,,,,,,,,
GAS LINE,2025-08-07,,149,,Manor Pl,El Paso,,,,,,2025/08/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.7467,-106.385,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,2025/08/07,,,,10:24,Gas Service,1,,,,,,,,,,,,,
COMPLETE,2025-05-09,,426,,AVENUE A,HUTCHINSON,,,,,,2025/05/09,1800,PW-23R3-HUTCHINSON-SHERMAN AND MADISON ,,,Eric Zerr,Tiffanie Gibson,29,31,15,,,TAP,GMI,END,,,,,West,174,2.1,124.1,,,174,,,,,,2025/05/09,LETS,2025/05/09,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.0516,-97.9404,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_3d4a20_cdv_photo_010_1746813590660.jpg"",""rid"":38495711,""lid"":""6728851"",""fid"":""760"",""field"":""photo_map"",""title"":""mdc_photo_mdc_3d4a20_cdv_photo_010_1746813590660.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,"CLEAR @ GMI, 13'- 19', 56'- 61', 75'- END, CLEAR ON PULLBACK FROM 110'- 0'.",,,2025/05/14,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_eb44de_cdv_photo_009_1746813590660.jpg"",""rid"":38495710,""lid"":""6728851"",""fid"":""760"",""field"":""site_photos"",""title"":""mdc_photo_mdc_eb44de_cdv_photo_009_1746813590660.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",414 W AVENENUE A,KS,2025/05/09,,,West,12:49,,2,Eric Zerr,,,2025/05/09,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/cd3280d3-f608-4940-8353-2ee1cfd9896e?t=0.84655&limit=30&offset=0&project=25PV0406+ONE+GAS+&ordering=Lateral_Segment_Reference&surveyed_by=ERIC+ZERR&client_reviewed=false,,
COMPLETE,2025-09-11,,406,,J ST NW,MIAMI ,,,,,,2025/09/11,2400,K ST NW/3 AVE NW ,,,James Atwood,Michael Parrish,0,26,0,,,TAP,GSI,END/12T,,,,,North,5.2,17.9,91.5,,,5.2,,,,,,2025/09/11,LETS,2025/09/11,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,36.8802,-94.888,yes,1,1,,GSI CLEAR / 3T NO CONFLICT,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_94afb1_cdv_photo_010_1757603531058.jpg"",""rid"":40116921,""lid"":""6728851"",""fid"":""1280"",""field"":""photo_map"",""title"":""mdc_photo_mdc_94afb1_cdv_photo_010_1757603531058.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,PASS-CAM,,,2025/09/17,,,Charlton Moren,,,Pass,,,A,B,C,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_73954c_cdv_photo_009_1757602738097.jpg"",""rid"":40116804,""lid"":""6728851"",""fid"":""1280"",""field"":""site_photos"",""title"":""mdc_photo_mdc_73954c_cdv_photo_009_1757602738097.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 327 I ST NW ,OK,2025/09/11,,,,09:54,,2,James Atwood,,,2025/09/11,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/84fcb4ab-0002-456c-813c-3fe448684cfe?t=0&limit=30&offset=0&status=uploaded&client_reviewed=false&issues=false&ordering=-Inspection_Date&project=25PV0406+ONE+GAS+,,
COMPLETE NO BILL,2025-08-05,,901,,Sw 1st St,Andrews,,,,,,2025/08/05,4600,One Gas,,,Jason Claunch,Kyle Graham ,,,,,,End,GMI Sewer@45” Gas@34,12T buried,,,,,,102.9,94.5,51.7,,,,,,,,,2025/08/05,PO,2025/08/05,PO,,Post,One Gas,1,32.309,-102.545,yes,1,1,,"8/5/2025 4600 push from cleanout to mainline, this lateral is clear",,One Gas,,N/A,0403,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_59c6ee_cdv_photo_002_1754421566291.jpg"",""rid"":39612787,""lid"":""6728851"",""fid"":""1004"",""field"":""site_photos"",""title"":""mdc_photo_mdc_59c6ee_cdv_photo_002_1754421566291.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_c97d4a_cdv_photo_003_1754421566291.jpg"",""rid"":39612788,""lid"":""6728851"",""fid"":""1004"",""field"":""site_photos"",""title"":""mdc_photo_mdc_c97d4a_cdv_photo_003_1754421566291.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_70bd63_cdv_photo_004_1754421566291.jpg"",""rid"":39612789,""lid"":""6728851"",""fid"":""1004"",""field"":""site_photos"",""title"":""mdc_photo_mdc_70bd63_cdv_photo_004_1754421566291.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/05,,,,13:56,,2,N/A,,,,,,N/A,,,Push Camera,,,
COMPLETE,2025-06-05,,400,,QUINCY ST,COMMERCE,,,,,,2025/06/05,2400,5TH AND RIVER,,,James Atwood,Michael Parrish,0,40,0,,,TAP,GMI,END,,,,,North,73.4,5,21.5,,,73.4,,,,,,2025/06/05,LETS,2025/06/05,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,36.9375,-94.8748,yes,1,1,,CLEAR ,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_19cdc4_cdv_photo_000_1749159443482.jpg"",""rid"":38798538,""lid"":""6728851"",""fid"":""919"",""field"":""photo_map"",""title"":""mdc_photo_mdc_19cdc4_cdv_photo_000_1749159443482.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,,,,2025/06/06,,,Katy Thompson,,,Pass,,,A,B,C,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_f1e779_cdv_photo_001_1749159443482.jpg"",""rid"":38798537,""lid"":""6728851"",""fid"":""919"",""field"":""site_photos"",""title"":""mdc_photo_mdc_f1e779_cdv_photo_001_1749159443482.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 318 N QUINCY ST ,OK,2025/06/05,,,North,16:32,A,2,James Atwood,,,2025/06/05,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/26725ee3-5713-4f5a-a4c4-e27e15205ae5?t=1.921588&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&ordering=-Inspection_Date&client_reviewed=false&city=COMMERCE,,
COMPLETE,2025-06-05,,622,,6TH ST,OSWEGO ,,,,,,2025/06/05,2400,6 AND MERCHANT,,,James Atwood,Michael Parrish,0,0,0,,,C/O,9T/12T,END,,,,,,0,45.1,97.3,,,,,,,,,2025/06/05,PO,2025/06/05,PO,,Post,SCOTT.LOVELADY@ONEGAS.COM ,1,37.1646,-95.1073,yes,1,1,,9T 12T IS PARTING LINES FOR 614 6TH ST NO CONFLICT WITH GAS,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_d010e9_cdv_photo_000_1749132444746.jpg"",""rid"":38792632,""lid"":""6728851"",""fid"":""871"",""field"":""photo_map"",""title"":""mdc_photo_mdc_d010e9_cdv_photo_000_1749132444746.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0403,COMPLETE,,,,,,,,,,,,,,,,,,,,A,B,C,,,,,,,,,,Lateral Inspection,,,KS,2025/06/05,,,,08:57,,2,James Atwood,,,2025/06/05,,,2400 PO,,,Push Camera,,,
GAS LINE,2025-08-07,,152,,Manor Pl,El Paso,,,,,,2025/08/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.7466,-106.386,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,2025/08/07,,,,10:30,Gas Service,1,,,,,,,,,,,,,
COMPLETE,2025-09-11,,406,,J ST NW,MIAMI ,,,,,,2025/09/11,2400,K ST NW/3 AVE NW ,,,James Atwood,Michael Parrish,0,0,,,,TAP,END,,,,,,North,9,4.2,,,,9,,,,,,2025/09/11,LETS,2025/09/11,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,36.8798,-94.8876,yes,1,1,,VOID / COLLAPSE WAS SAME ON PRE ABANDONED ,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_14bae1_cdv_photo_011_1757603838662.jpg"",""rid"":40116979,""lid"":""6728851"",""fid"":""1284"",""field"":""photo_map"",""title"":""mdc_photo_mdc_14bae1_cdv_photo_011_1757603838662.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,ABANDONED PIPE,,,Katy Thompson,Pass,,,COLLAPSED PIPE @ 4FT,,,2025/09/17,,,Charlton Moren,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 327 I ST NW ,KS,2025/09/11,,,,10:13,A,2,James Atwood,,,2025/09/11,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/0fedd624-feee-43e1-b94a-19294cfa3f91?t=0&limit=30&offset=0&status=uploaded&client_reviewed=false&issues=false&ordering=-Inspection_Date&project=25PV0406+ONE+GAS+,,
COMPLETE,2025-05-08,,MH 401 SHERMAN ST,,S MADISON ST,HUTCHINSON,,,,,,2025/05/08,1800,PW-23R3-HUTCHINSON-SHERMAN AND MADISON ,,,Eric Zerr,Tiffanie Gibson,24,29,,,,MH 401,MH 414,,,,,No,,0,291.6,,,,,,,,MH 414 W AVENUE A,,2025/05/08,ML,2025/05/08,ML,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.0516,-97.9403,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_f4cc90_cdv_photo_000_1746742725992.jpg"",""rid"":38485532,""lid"":""6728851"",""fid"":""693"",""field"":""photo_map"",""title"":""mdc_photo_mdc_f4cc90_cdv_photo_000_1746742725992.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,,,,2025/05/14,,,Katy Thompson,,,Pass,,,A,B,,,,,,,291.6,,,291.6,Main Inspection,,401 W SHERMAN ST,KS,2025/05/08,,,South,17:08,TO MH 414 W AVENUE A,2,Eric Zerr,,,2025/05/08,,,1800 LETS,,,CCTV,https://pioneer.sewerai.com/dashboard/review/29a10f54-1f2d-4f8b-bd59-3fc3d3130379?t=4.897798&limit=30&offset=0&project=25PV0406+ONE+GAS+&ordering=Lateral_Segment_Reference&surveyed_by=ERIC+ZERR&client_reviewed=false,,
COMPLETE,2025-05-07,,620,,THURSTON ST ,MANHATTAN ,,,,,,2025/05/07,1800,BERTRAND / N 6 ST ,,,Eric Zerr,Carter Pacheco,76,64,,,,TAP,END,,,,,No,East,175.5,100.1,,,,175.5,,,,,,2025/05/07,LETS,2025/05/07,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,39.1903,-96.5666,yes,1,1,,NO GAS CROSSING,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_421b34_cdv_photo_003_1746646754925.jpg"",""rid"":38471419,""lid"":""6728851"",""fid"":""665"",""field"":""photo_map"",""title"":""mdc_photo_mdc_421b34_cdv_photo_003_1746646754925.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,THERE ARE NO GAS CROSSINGS THIS LINE IS CLEAR.,,,Katy Thompson,Pass,,,"29'- END NO VISUAL, ON PULLBACK POOR VISUAL 71'- 50', GOES UNDER WATER 42'- 30'",,,2025/05/14,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 1106 N JULIETTE AVE ,KS,2025/05/07,,,,14:10,,2,Eric Zerr,,,2025/05/07,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/8bad8c6e-a74d-430c-acff-482e75962f3a?t=1.359201&limit=30&offset=0&project=25PV0406+ONE+GAS+&ordering=Lateral_Segment_Reference&surveyed_by=ERIC+ZERR&client_reviewed=false,,
COMPLETE,2025-05-07,,617,,BERTRAND ST,MANHATTAN ,,,,,,2025/05/07,1800,BERTRAND / N 6 ST ,,,Eric Zerr,Carter Pacheco,74,76,,,,TAP,END,,,,,No,East,236.5,74.6,,,,236.5,,,,,,2025/05/07,LETS,2025/05/07,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,39.1903,-96.5666,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_af8535_cdv_photo_004_1746648861333.jpg"",""rid"":38471963,""lid"":""6728851"",""fid"":""675"",""field"":""photo_map"",""title"":""mdc_photo_mdc_af8535_cdv_photo_004_1746648861333.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,"POOR VISUAL DUE TO WATER 50'-57', CLEAR ON PULLBACK",,,2025/05/14,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 1106 N JULIETTE AVE ,KS,2025/05/07,,,South,15:05,,2,Eric Zerr,,,2025/05/07,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/c54d04ed-8778-4937-ad52-1c41426ea86d?t=4.98731&limit=30&offset=0&project=25PV0406+ONE+GAS+&ordering=Lateral_Segment_Reference&surveyed_by=ERIC+ZERR&client_reviewed=false,,
PO,2025-05-07,,618,,THURSTON ST ,MANHATTAN ,,,,,,2025/05/07,1800,BERTRAND/N 6 ST ,,,Eric Zerr,Carter Pacheco,72,50,48,42,,TAP,GSI,12T,END,,,No,East,212.3,24.1,49.7,51,,212.3,,,,,,2025/05/07,LETS,2025/05/07,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,39.1903,-96.5666,yes,1,1,,,,One Gas,,Yes,0406,PO,,,,,,,,GSI IS CLEAR,,,2025/05/14,,,Katy Thompson,,,Pass,,,A,B,C,D,,,,,,1,,,Lateral Inspection,,MH 1106 N JULIETTE AVE ,KS,2025/05/07,,,,14:35,,2,Eric Zerr,,,2025/05/07,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/6d3e184c-fd6f-4e8e-8662-1cddf926cfae?t=1.703337&limit=30&offset=0&project=25PV0406+ONE+GAS+&ordering=Lateral_Segment_Reference&surveyed_by=ERIC+ZERR&client_reviewed=false,,
COMPLETE NO BILL,2025-08-05,,Extra tap 6,,W 15th St,Monahans  ,,,,,,2025/08/05,---------------------,15TH ST Monaghan ,,,---------------------,---------------------,,,,,,Capped 12T,,,,,,No,,10,,,,,,,,,,,2025/08/05,LETS,2025/08/05,LETS,,Post,Z,,31.5809,-102.888,yes,1,1,,"Truck5100 Lead - Christian E. Tech - Derek K. 
Capped 12T",,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_1d9c06_cdv_photo_001_1754421497179.jpg"",""rid"":39612774,""lid"":""6728851"",""fid"":""1003"",""field"":""photo_map"",""title"":""mdc_photo_mdc_1d9c06_cdv_photo_001_1754421497179.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0723,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_22bf4c_cdv_photo_000_1754421497179.jpg"",""rid"":39612773,""lid"":""6728851"",""fid"":""1003"",""field"":""site_photos"",""title"":""mdc_photo_mdc_22bf4c_cdv_photo_000_1754421497179.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/05,,,,14:12,,2,---------------------,,,2025/08/04,,,-----------------,,,Lateral Launch,,,
GAS LINE,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9586,-94.701,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/06/05,,,,,,1,,,,,,,,,,,,,
GAS LINE,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9586,-94.7011,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/06/05,,,,,,1,,,,,,,,,,,,,
GAS LINE,2025-08-07,,156,,Manor Pl,El Paso,,,,,,2025/08/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.7466,-106.386,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,2025/08/07,,,,10:32,Gas Service,1,,,,,,,,,,,,,
GAS LINE,2025-08-07,,7605,,Alpine Dr,El Paso,,,,,,2025/08/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.76,-106.362,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,2025/08/07,,,,15:39,Gas Service,1,,,,,,,,,,,,,
COMPLETE,2025-09-11,,412,,J ST NW,MIAMI ,,,,,,2025/09/11,2400,K ST NW/3 AVE NW ,,,James Atwood,Michael Parrish,0,0,,,,TAP,END,,,,,,North,106.6,105.5,,,,106.6,,,,,,2025/09/11,LETS,2025/09/11,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,36.8802,-94.8879,yes,1,1,,NO NEW GAS / LINE IS UNDER WATER,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_d9f0c8_cdv_photo_017_1757608971477.jpg"",""rid"":40117925,""lid"":""6728851"",""fid"":""1293"",""field"":""photo_map"",""title"":""mdc_photo_mdc_d9f0c8_cdv_photo_017_1757608971477.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,THERE ARE NO GAS CROSSINGS. NO NEW GAS / LINE IS UNDER WATER,,,Katy Thompson,Pass,,,"BAD VISUAL FROM 30FT TO END, NOT CLEAR ON PULLBACK",,,2025/09/17,,,Charlton Moren,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 327 I ST NW ,OK,2025/09/11,,,,11:38,,2,James Atwood,,,2025/09/11,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/2c83b010-c635-4f9f-82ca-e1d190b98299?t=1&limit=30&offset=0&status=uploaded&client_reviewed=false&issues=false&ordering=-Inspection_Date&project=25PV0406+ONE+GAS+,,
COMPLETE,2025-05-07,,MH 1106 N JULIETTE AVE ,,JULIETTE AVE,MANHATTAN,,,,,,2025/05/07,1800,BERTRAND / N 6 ST ,,,Eric Zerr,Carter Pacheco,87,72,72,,,MH 1106 N JULIETTE AVE ,GMI,END,,,,No,,0,211.8,257.7,,,,,,,,,2025/05/07,LETS,2025/05/07,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,39.1903,-96.5666,yes,1,1,,,,One Gas,,Yes,0406,COMPLETE,,,,,,,,,,,2025/05/14,,,Katy Thompson,,,Pass,,,A,B,C,,,,,,,,,,Main Inspection,,MH 1106 N JULIETTE AVE ,KS,2025/05/07,,,North,15:38,TO EAST,2,Eric Zerr,,,2025/05/07,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/19eb699b-fe42-4ce9-bd9a-d314280400ee?t=2.257799&limit=30&offset=0&project=25PV0406+ONE+GAS+&ordering=Lateral_Segment_Reference&surveyed_by=ERIC+ZERR&client_reviewed=false,,
COMPLETE,2025-05-09,,2136,,2ND ST,WICHITA ,,,,,,2025/05/09,2400,WICHITA-3RD AND ST CLAIR ,,,Edgar Atwood,Michael Parrish,0,27,0,,,TAP,GMI,END,,,,,West,329.1,2.9,5.2,,,329.1,,,,,,2025/05/09,LETS,2025/05/09,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,37.6879,-97.3654,yes,1,1,,ENDED AT P TRAP,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_73c41f_cdv_photo_003_1746815463354.jpg"",""rid"":38495948,""lid"":""6728851"",""fid"":""764"",""field"":""photo_map"",""title"":""mdc_photo_mdc_73c41f_cdv_photo_003_1746815463354.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,CLEAR ON PULLBACK,,,2025/05/16,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_8c5b13_cdv_photo_002_1746815425158.jpg"",""rid"":38495940,""lid"":""6728851"",""fid"":""764"",""field"":""site_photos"",""title"":""mdc_photo_mdc_8c5b13_cdv_photo_002_1746815425158.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 2026 W 2ND ST,KS,2025/05/09,,,West,13:18,,2,Edgar Atwood,,,2025/05/09,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/b3db85fb-f038-40e9-a359-314780b88a56?t=0&limit=30&offset=0&client_reviewed=false&project=25PV0406+ONE+GAS+,,
COMPLETE,2025-06-04,,625 ,,MERCHANT ST,OSWEGO ,,,,,,2025/06/04,2400,6 AND MERCHANT,,,James Atwood,Michael Parrish,0,46,0,16,0,TAP,GSI,VCO/12T,GSI,END,,,North,34.6,1.3,14.1,17.1,85.5,34.6,,,,,,2025/06/04,LETS,2025/06/04,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,37.1637,-95.1082,yes,1,1,,CLEAR,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_b57651_cdv_photo_000_1749046486368.jpg"",""rid"":38777422,""lid"":""6728851"",""fid"":""819"",""field"":""photo_map"",""title"":""mdc_photo_mdc_b57651_cdv_photo_000_1749046486368.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0403,COMPLETE,2 GSI'S ARE CLEAR. THIS LINE IS CLEAR.,,,Katy Thompson,Pass,,,"POOR VISUAL 8'-11.3', 44'- 56.5', UNDER WATER, NOT CLEAR ON PULLBACK, GSI IS CLEAR",,,2025/06/17,,,Katy Thompson,,,Pass,,,A,B,C,D,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_7d0f13_cdv_photo_000_1749046051216.jpg"",""rid"":38777317,""lid"":""6728851"",""fid"":""819"",""field"":""site_photos"",""title"":""mdc_photo_mdc_7d0f13_cdv_photo_000_1749046051216.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_40fe18_cdv_photo_001_1749046051216.jpg"",""rid"":38777318,""lid"":""6728851"",""fid"":""819"",""field"":""site_photos"",""title"":""mdc_photo_mdc_40fe18_cdv_photo_001_1749046051216.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_00597a_cdv_photo_002_1749046051216.jpg"",""rid"":38777319,""lid"":""6728851"",""fid"":""819"",""field"":""site_photos"",""title"":""mdc_photo_mdc_00597a_cdv_photo_002_1749046051216.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 635 MERCHANT ST ,KS,2025/06/04,,,,09:03,,2,James Atwood,,,2025/06/04,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/9cd16ada-13f5-4c51-ab41-f3fc82fb4808?t=4.22273&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&city=OSWEGO&client_reviewed=false,,
